timestamp_local,timestamp_utc,open,high,low,close,volume,average,bar_count
2026-07-10T11:05:00-04:00,2026-07-10T15:05:00+00:00,14.05,14.06,14.04,14.05,5129.0,14.054,43
2026-07-10T11:06:00-04:00,2026-07-10T15:06:00+00:00,14.05,14.05,14.05,14.05,200.0,14.05,2
2026-07-10T11:07:00-04:00,2026-07-10T15:07:00+00:00,14.04,14.06,14.04,14.05,853.0,14.05,7
2026-07-10T11:08:00-04:00,2026-07-10T15:08:00+00:00,14.05,14.05,14.05,14.05,0.0,14.05,0
2026-07-10T11:09:00-04:00,2026-07-10T15:09:00+00:00,14.05,14.05,14.05,14.05,0.0,14.05,0
2026-07-10T11:10:00-04:00,2026-07-10T15:10:00+00:00,14.05,14.08,14.05,14.07,5544.0,14.066,37
2026-07-10T11:11:00-04:00,2026-07-10T15:11:00+00:00,14.06,14.07,14.06,14.06,1894.0,14.06,13
2026-07-10T11:12:00-04:00,2026-07-10T15:12:00+00:00,14.06,14.07,13.99,13.99,6932.0,14.017,61
2026-07-10T11:13:00-04:00,2026-07-10T15:13:00+00:00,13.98,13.99,13.96,13.96,9568.0,13.974,52
2026-07-10T11:14:00-04:00,2026-07-10T15:14:00+00:00,13.96,13.98,13.95,13.96,8521.0,13.959,44
2026-07-10T11:15:00-04:00,2026-07-10T15:15:00+00:00,13.96,13.97,13.95,13.97,5093.0,13.962,36
2026-07-10T11:16:00-04:00,2026-07-10T15:16:00+00:00,13.97,13.98,13.97,13.98,2000.0,13.974,15
2026-07-10T11:17:00-04:00,2026-07-10T15:17:00+00:00,13.97,14.0,13.97,13.99,4311.0,13.984,32
2026-07-10T11:18:00-04:00,2026-07-10T15:18:00+00:00,13.99,13.99,13.98,13.98,3642.0,13.989,25
2026-07-10T11:19:00-04:00,2026-07-10T15:19:00+00:00,13.98,13.99,13.98,13.98,619.0,13.981,5
2026-07-10T11:20:00-04:00,2026-07-10T15:20:00+00:00,13.98,13.99,13.98,13.99,2662.0,13.982,23
2026-07-10T11:21:00-04:00,2026-07-10T15:21:00+00:00,13.99,13.99,13.99,13.99,0.0,13.99,0
2026-07-10T11:22:00-04:00,2026-07-10T15:22:00+00:00,13.98,13.98,13.96,13.96,2400.0,13.969,17
2026-07-10T11:23:00-04:00,2026-07-10T15:23:00+00:00,13.96,13.98,13.95,13.98,2872.0,13.964,25
2026-07-10T11:24:00-04:00,2026-07-10T15:24:00+00:00,13.98,13.99,13.97,13.97,2190.0,13.977,14
2026-07-10T11:25:00-04:00,2026-07-10T15:25:00+00:00,13.98,13.99,13.97,13.97,1293.0,13.981,10
2026-07-10T11:26:00-04:00,2026-07-10T15:26:00+00:00,13.97,13.98,13.96,13.96,4215.0,13.969,19
2026-07-10T11:27:00-04:00,2026-07-10T15:27:00+00:00,13.96,13.97,13.94,13.94,9165.0,13.952,57
2026-07-10T11:28:00-04:00,2026-07-10T15:28:00+00:00,13.93,13.93,13.9,13.9,3028.0,13.917,23
2026-07-10T11:29:00-04:00,2026-07-10T15:29:00+00:00,13.9,13.91,13.89,13.9,10121.0,13.899,51
2026-07-10T11:30:00-04:00,2026-07-10T15:30:00+00:00,13.9,13.91,13.89,13.89,4499.0,13.895,40
2026-07-10T11:31:00-04:00,2026-07-10T15:31:00+00:00,13.89,13.9,13.89,13.89,1027.0,13.895,8
2026-07-10T11:32:00-04:00,2026-07-10T15:32:00+00:00,13.89,13.92,13.89,13.91,5791.0,13.91,40
2026-07-10T11:33:00-04:00,2026-07-10T15:33:00+00:00,13.91,13.91,13.9,13.9,2936.0,13.908,15
2026-07-10T11:34:00-04:00,2026-07-10T15:34:00+00:00,13.9,13.91,13.9,13.9,1931.0,13.901,12
2026-07-10T11:35:00-04:00,2026-07-10T15:35:00+00:00,13.9,13.91,13.87,13.88,4408.0,13.891,20
2026-07-10T11:36:00-04:00,2026-07-10T15:36:00+00:00,13.87,13.88,13.87,13.88,300.0,13.873,3
2026-07-10T11:37:00-04:00,2026-07-10T15:37:00+00:00,13.88,13.88,13.87,13.88,482.0,13.876,3
2026-07-10T11:38:00-04:00,2026-07-10T15:38:00+00:00,13.88,13.88,13.87,13.88,2370.0,13.878,16
2026-07-10T11:39:00-04:00,2026-07-10T15:39:00+00:00,13.88,13.88,13.87,13.88,100.0,13.875,1
2026-07-10T11:40:00-04:00,2026-07-10T15:40:00+00:00,13.88,13.88,13.86,13.88,2300.0,13.87,19
2026-07-10T11:41:00-04:00,2026-07-10T15:41:00+00:00,13.87,13.88,13.87,13.88,619.0,13.876,5
2026-07-10T11:42:00-04:00,2026-07-10T15:42:00+00:00,13.88,13.89,13.87,13.88,3660.0,13.88,15
2026-07-10T11:43:00-04:00,2026-07-10T15:43:00+00:00,13.88,13.88,13.88,13.88,800.0,13.88,4
2026-07-10T11:44:00-04:00,2026-07-10T15:44:00+00:00,13.88,13.89,13.86,13.87,6948.0,13.875,42
2026-07-10T11:45:00-04:00,2026-07-10T15:45:00+00:00,13.85,13.85,13.84,13.84,1300.0,13.842,12
2026-07-10T11:46:00-04:00,2026-07-10T15:46:00+00:00,13.83,13.84,13.83,13.83,1600.0,13.833,11
2026-07-10T11:47:00-04:00,2026-07-10T15:47:00+00:00,13.83,13.84,13.83,13.84,700.0,13.839,7
2026-07-10T11:48:00-04:00,2026-07-10T15:48:00+00:00,13.84,13.84,13.84,13.84,650.0,13.84,4
2026-07-10T11:49:00-04:00,2026-07-10T15:49:00+00:00,13.84,13.85,13.84,13.84,700.0,13.841,7
2026-07-10T11:50:00-04:00,2026-07-10T15:50:00+00:00,13.84,13.85,13.84,13.84,2430.0,13.842,13
2026-07-10T11:51:00-04:00,2026-07-10T15:51:00+00:00,13.84,13.84,13.84,13.84,0.0,13.84,0
2026-07-10T11:52:00-04:00,2026-07-10T15:52:00+00:00,13.83,13.83,13.83,13.83,958.0,13.83,3
2026-07-10T11:53:00-04:00,2026-07-10T15:53:00+00:00,13.82,13.83,13.82,13.82,1569.0,13.825,7
2026-07-10T11:54:00-04:00,2026-07-10T15:54:00+00:00,13.82,13.83,13.82,13.83,1900.0,13.826,7
2026-07-10T11:55:00-04:00,2026-07-10T15:55:00+00:00,13.82,13.83,13.82,13.82,500.0,13.825,5
2026-07-10T11:56:00-04:00,2026-07-10T15:56:00+00:00,13.83,13.88,13.83,13.85,10722.0,13.852,86
2026-07-10T11:57:00-04:00,2026-07-10T15:57:00+00:00,13.83,13.83,13.82,13.82,690.0,13.828,6
2026-07-10T11:58:00-04:00,2026-07-10T15:58:00+00:00,13.82,13.83,13.82,13.82,500.0,13.822,5
2026-07-10T11:59:00-04:00,2026-07-10T15:59:00+00:00,13.82,13.84,13.82,13.83,3110.0,13.832,24
2026-07-10T12:00:00-04:00,2026-07-10T16:00:00+00:00,13.83,13.83,13.83,13.83,0.0,13.83,0
2026-07-10T12:01:00-04:00,2026-07-10T16:01:00+00:00,13.83,13.84,13.83,13.83,333.0,13.835,3
2026-07-10T12:02:00-04:00,2026-07-10T16:02:00+00:00,13.83,13.84,13.83,13.83,886.0,13.831,8
2026-07-10T12:03:00-04:00,2026-07-10T16:03:00+00:00,13.82,13.83,13.82,13.82,1409.0,13.825,9
2026-07-10T12:04:00-04:00,2026-07-10T16:04:00+00:00,13.82,13.83,13.81,13.81,2600.0,13.82,18
2026-07-10T12:05:00-04:00,2026-07-10T16:05:00+00:00,13.81,13.82,13.81,13.81,700.0,13.815,7
2026-07-10T12:06:00-04:00,2026-07-10T16:06:00+00:00,13.81,13.82,13.81,13.82,500.0,13.815,5
2026-07-10T12:07:00-04:00,2026-07-10T16:07:00+00:00,13.81,13.81,13.79,13.79,4073.0,13.805,29
2026-07-10T12:08:00-04:00,2026-07-10T16:08:00+00:00,13.79,13.8,13.79,13.79,400.0,13.795,4
2026-07-10T12:09:00-04:00,2026-07-10T16:09:00+00:00,13.79,13.8,13.79,13.8,700.0,13.799,7
2026-07-10T12:10:00-04:00,2026-07-10T16:10:00+00:00,13.79,13.8,13.79,13.79,1713.0,13.797,11
2026-07-10T12:11:00-04:00,2026-07-10T16:11:00+00:00,13.79,13.8,13.79,13.8,1382.0,13.798,9
2026-07-10T12:12:00-04:00,2026-07-10T16:12:00+00:00,13.8,13.8,13.8,13.8,0.0,13.8,0
2026-07-10T12:13:00-04:00,2026-07-10T16:13:00+00:00,13.8,13.81,13.8,13.8,540.0,13.804,4
2026-07-10T12:14:00-04:00,2026-07-10T16:14:00+00:00,13.8,13.81,13.8,13.8,357.0,13.805,2
2026-07-10T12:15:00-04:00,2026-07-10T16:15:00+00:00,13.8,13.81,13.8,13.81,1643.0,13.806,6
2026-07-10T12:16:00-04:00,2026-07-10T16:16:00+00:00,13.81,13.84,13.81,13.82,4486.0,13.821,35
2026-07-10T12:17:00-04:00,2026-07-10T16:17:00+00:00,13.82,13.82,13.81,13.81,790.0,13.819,6
2026-07-10T12:18:00-04:00,2026-07-10T16:18:00+00:00,13.81,13.82,13.81,13.81,900.0,13.814,8
2026-07-10T12:19:00-04:00,2026-07-10T16:19:00+00:00,13.8,13.81,13.8,13.8,2380.0,13.805,4
2026-07-10T12:20:00-04:00,2026-07-10T16:20:00+00:00,13.8,13.82,13.8,13.81,1000.0,13.811,10
2026-07-10T12:21:00-04:00,2026-07-10T16:21:00+00:00,13.81,13.82,13.81,13.81,2202.0,13.811,9
2026-07-10T12:22:00-04:00,2026-07-10T16:22:00+00:00,13.81,13.82,13.81,13.82,1300.0,13.812,9
2026-07-10T12:23:00-04:00,2026-07-10T16:23:00+00:00,13.82,13.83,13.82,13.82,126.0,13.825,1
2026-07-10T12:24:00-04:00,2026-07-10T16:24:00+00:00,13.82,13.83,13.82,13.82,100.0,13.825,1
2026-07-10T12:25:00-04:00,2026-07-10T16:25:00+00:00,13.82,13.82,13.82,13.82,126.0,13.82,1
2026-07-10T12:26:00-04:00,2026-07-10T16:26:00+00:00,13.82,13.83,13.8,13.82,7869.0,13.818,36
2026-07-10T12:27:00-04:00,2026-07-10T16:27:00+00:00,13.82,13.83,13.82,13.82,500.0,13.823,5
2026-07-10T12:28:00-04:00,2026-07-10T16:28:00+00:00,13.82,13.83,13.82,13.82,2000.0,13.82,17
2026-07-10T12:29:00-04:00,2026-07-10T16:29:00+00:00,13.82,13.83,13.82,13.82,244.0,13.823,2
2026-07-10T12:30:00-04:00,2026-07-10T16:30:00+00:00,13.82,13.83,13.82,13.83,410.0,13.829,4
2026-07-10T12:31:00-04:00,2026-07-10T16:31:00+00:00,13.83,13.83,13.83,13.83,1940.0,13.83,14
2026-07-10T12:32:00-04:00,2026-07-10T16:32:00+00:00,13.83,13.83,13.83,13.83,0.0,13.83,0
2026-07-10T12:33:00-04:00,2026-07-10T16:33:00+00:00,13.82,13.82,13.82,13.82,100.0,13.82,1
2026-07-10T12:34:00-04:00,2026-07-10T16:34:00+00:00,13.82,13.84,13.82,13.83,3670.0,13.826,11
2026-07-10T12:35:00-04:00,2026-07-10T16:35:00+00:00,13.83,13.84,13.83,13.83,107.0,13.835,1
2026-07-10T12:36:00-04:00,2026-07-10T16:36:00+00:00,13.83,13.83,13.82,13.82,1475.0,13.829,11
2026-07-10T12:37:00-04:00,2026-07-10T16:37:00+00:00,13.82,13.82,13.82,13.82,100.0,13.82,1
2026-07-10T12:38:00-04:00,2026-07-10T16:38:00+00:00,13.82,13.82,13.82,13.82,0.0,13.82,0
2026-07-10T12:39:00-04:00,2026-07-10T16:39:00+00:00,13.83,13.83,13.82,13.83,400.0,13.828,4
2026-07-10T12:40:00-04:00,2026-07-10T16:40:00+00:00,13.82,13.83,13.82,13.82,616.0,13.827,4
2026-07-10T12:41:00-04:00,2026-07-10T16:41:00+00:00,13.83,13.83,13.82,13.83,400.0,13.828,4
2026-07-10T12:42:00-04:00,2026-07-10T16:42:00+00:00,13.82,13.83,13.82,13.82,3600.0,13.825,10
2026-07-10T12:43:00-04:00,2026-07-10T16:43:00+00:00,13.83,13.84,13.83,13.84,1000.0,13.834,9
2026-07-10T12:44:00-04:00,2026-07-10T16:44:00+00:00,13.83,13.84,13.83,13.84,1400.0,13.832,12
2026-07-10T12:45:00-04:00,2026-07-10T16:45:00+00:00,13.84,13.84,13.84,13.84,0.0,13.84,0
2026-07-10T12:46:00-04:00,2026-07-10T16:46:00+00:00,13.83,13.83,13.83,13.83,100.0,13.83,1
2026-07-10T12:47:00-04:00,2026-07-10T16:47:00+00:00,13.83,13.84,13.83,13.83,200.0,13.833,2
2026-07-10T12:48:00-04:00,2026-07-10T16:48:00+00:00,13.83,13.83,13.83,13.83,100.0,13.83,1
2026-07-10T12:49:00-04:00,2026-07-10T16:49:00+00:00,13.83,13.84,13.83,13.83,668.0,13.834,4
2026-07-10T12:50:00-04:00,2026-07-10T16:50:00+00:00,13.83,13.84,13.83,13.84,1010.0,13.838,9
2026-07-10T12:51:00-04:00,2026-07-10T16:51:00+00:00,13.84,13.85,13.84,13.84,697.0,13.846,5
2026-07-10T12:52:00-04:00,2026-07-10T16:52:00+00:00,13.85,13.85,13.85,13.85,100.0,13.85,1
2026-07-10T12:53:00-04:00,2026-07-10T16:53:00+00:00,13.84,13.85,13.84,13.84,100.0,13.845,1
2026-07-10T12:54:00-04:00,2026-07-10T16:54:00+00:00,13.85,13.85,13.82,13.82,6709.0,13.842,53
2026-07-10T12:55:00-04:00,2026-07-10T16:55:00+00:00,13.82,13.84,13.82,13.84,809.0,13.835,3
2026-07-10T12:56:00-04:00,2026-07-10T16:56:00+00:00,13.84,13.84,13.84,13.84,200.0,13.84,2
2026-07-10T12:57:00-04:00,2026-07-10T16:57:00+00:00,13.84,13.84,13.84,13.84,0.0,13.84,0
2026-07-10T12:58:00-04:00,2026-07-10T16:58:00+00:00,13.84,13.85,13.83,13.84,4301.0,13.842,21
2026-07-10T12:59:00-04:00,2026-07-10T16:59:00+00:00,13.85,13.85,13.84,13.85,1802.0,13.85,14
2026-07-10T13:00:00-04:00,2026-07-10T17:00:00+00:00,13.85,13.86,13.85,13.85,1029.0,13.85,10
2026-07-10T13:01:00-04:00,2026-07-10T17:01:00+00:00,13.85,13.85,13.85,13.85,0.0,13.85,0
2026-07-10T13:02:00-04:00,2026-07-10T17:02:00+00:00,13.85,13.86,13.85,13.85,229.0,13.855,2
2026-07-10T13:03:00-04:00,2026-07-10T17:03:00+00:00,13.85,13.86,13.85,13.85,100.0,13.855,1
2026-07-10T13:04:00-04:00,2026-07-10T17:04:00+00:00,13.85,13.86,13.85,13.85,104.0,13.855,1
2026-07-10T13:05:00-04:00,2026-07-10T17:05:00+00:00,13.85,13.85,13.85,13.85,0.0,13.85,0
2026-07-10T13:06:00-04:00,2026-07-10T17:06:00+00:00,13.85,13.85,13.85,13.85,0.0,13.85,0
2026-07-10T13:07:00-04:00,2026-07-10T17:07:00+00:00,13.85,13.87,13.85,13.85,4787.0,13.858,30
2026-07-10T13:08:00-04:00,2026-07-10T17:08:00+00:00,13.85,13.86,13.85,13.85,841.0,13.855,3
2026-07-10T13:09:00-04:00,2026-07-10T17:09:00+00:00,13.85,13.85,13.84,13.84,2132.0,13.848,12
2026-07-10T13:10:00-04:00,2026-07-10T17:10:00+00:00,13.83,13.83,13.83,13.83,500.0,13.83,5
2026-07-10T13:11:00-04:00,2026-07-10T17:11:00+00:00,13.82,13.82,13.81,13.81,500.0,13.815,5
2026-07-10T13:12:00-04:00,2026-07-10T17:12:00+00:00,13.81,13.81,13.8,13.81,2963.0,13.808,18
2026-07-10T13:13:00-04:00,2026-07-10T17:13:00+00:00,13.81,13.82,13.81,13.81,227.0,13.813,2
2026-07-10T13:14:00-04:00,2026-07-10T17:14:00+00:00,13.81,13.82,13.81,13.81,300.0,13.815,2
2026-07-10T13:15:00-04:00,2026-07-10T17:15:00+00:00,13.81,13.82,13.81,13.82,1430.0,13.816,7
2026-07-10T13:16:00-04:00,2026-07-10T17:16:00+00:00,13.82,13.83,13.82,13.82,800.0,13.823,6
2026-07-10T13:17:00-04:00,2026-07-10T17:17:00+00:00,13.82,13.83,13.82,13.82,500.0,13.825,3
2026-07-10T13:18:00-04:00,2026-07-10T17:18:00+00:00,13.82,13.83,13.82,13.82,463.0,13.825,2
2026-07-10T13:19:00-04:00,2026-07-10T17:19:00+00:00,13.82,13.82,13.82,13.82,100.0,13.82,1
2026-07-10T13:20:00-04:00,2026-07-10T17:20:00+00:00,13.82,13.82,13.82,13.82,0.0,13.82,0
2026-07-10T13:21:00-04:00,2026-07-10T17:21:00+00:00,13.82,13.82,13.82,13.82,0.0,13.82,0
2026-07-10T13:22:00-04:00,2026-07-10T17:22:00+00:00,13.82,13.83,13.82,13.82,5948.0,13.826,26
2026-07-10T13:23:00-04:00,2026-07-10T17:23:00+00:00,13.82,13.82,13.82,13.82,0.0,13.82,0
2026-07-10T13:24:00-04:00,2026-07-10T17:24:00+00:00,13.82,13.83,13.82,13.82,1210.0,13.825,7
2026-07-10T13:25:00-04:00,2026-07-10T17:25:00+00:00,13.82,13.83,13.81,13.83,7295.0,13.821,47
2026-07-10T13:26:00-04:00,2026-07-10T17:26:00+00:00,13.82,13.83,13.81,13.81,4277.0,13.82,26
2026-07-10T13:27:00-04:00,2026-07-10T17:27:00+00:00,13.81,13.81,13.81,13.81,0.0,13.81,0
2026-07-10T13:28:00-04:00,2026-07-10T17:28:00+00:00,13.81,13.81,13.81,13.81,100.0,13.81,1
2026-07-10T13:29:00-04:00,2026-07-10T17:29:00+00:00,13.81,13.82,13.81,13.81,332.0,13.812,3
2026-07-10T13:30:00-04:00,2026-07-10T17:30:00+00:00,13.81,13.82,13.81,13.81,100.0,13.815,1
2026-07-10T13:31:00-04:00,2026-07-10T17:31:00+00:00,13.81,13.82,13.81,13.81,200.0,13.815,2
